SEASON,NAME,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
2022,Matt Every,39,"$7,659",2,8,0,1,0,0,0,0,0,0,0,0,0
2022,Kevin Stadler,43,"$7,955",2,11,0,1,0,0,0,0,0,0,0,0,0
2022,Brian Davis,49,"$8,177",3,7,0,1,0,0,0,0,0,0,0,0,0
2023,Richard S. Johnson,47,"$8,208",2,6,0,1,0,0,0,0,0,0,0,0,0
2023,Bo Van Pelt,48,"$11,172",6,7,0,1,0,0,0,0,0,0,0,0,0
2022,John Senden,52,"$13,650",3,3,0,1,0,0,0,0,0,0,0,0,0
2023,Scott Gutschewski,47,"$14,690",5,1,0,1,0,0,0,0,0,0,0,0,0
2022,Omar Uresti,55,"$14,910",4,5,0,1,0,0,0,0,0,0,0,0,0
2022,Davis Love III,59,"$15,048",3,7,0,1,0,0,0,0,0,0,0,0,0
2022,Richard S. Johnson,47,"$15,725",5,8,0,2,0,0,0,0,0,0,0,0,0
2022,Jay Haas,69,"$16,185",3,1,0,0,0,0,0,0,0,0,0,0,0
2022,Ryuji Imada,47,"$16,318",2,4,0,1,0,0,0,0,0,0,0,0,0
2023,Arjun Atwal,50,"$16,367",8,10,0,1,0,0,0,0,0,0,0,0,0
2022,Paul Goydos,59,"$16,800",5,1,0,1,0,0,0,0,0,0,0,0,0
2022,George McNeill,48,"$16,800",5,5,0,1,0,0,0,0,0,0,0,0,0
2023,George McNeill,48,"$16,834",6,6,0,2,0,0,0,0,0,0,0,0,0
2022,Morgan Hoffmann,34,"$17,513",3,3,0,2,0,0,0,0,0,0,0,0,0
2022,John Merrick,41,"$19,502",4,9,0,2,0,0,0,0,0,0,0,0,0
2022,Arjun Atwal,50,"$21,150",5,7,0,2,0,0,0,0,0,0,0,0,0
2023,Kevin Stadler,43,"$21,318",4,9,0,2,0,0,0,0,0,0,0,0,0
2023,Mike Weir,53,"$21,438",7,2,0,1,0,0,0,0,0,0,0,0,0
2022,Sangmoon Bae,37,"$23,357",9,8,0,2,0,0,0,0,0,0,0,0,0
2022,Derek Ernst,33,"$25,057",9,7,0,2,0,0,0,0,0,0,0,0,0
2022,Jim Furyk,53,"$27,375",12,3,0,1,0,0,0,0,0,0,0,0,0
2022,Johnson Wagner,43,"$35,205",12,6,0,2,0,0,0,0,0,0,0,0,0
2022,D.J. Trahan,42,"$35,292",11,10,0,3,0,0,0,0,0,0,0,0,0
2022,Padraig Harrington,52,"$37,464",12,6,0,1,0,0,0,0,0,0,0,0,0
2022,Fabián Gómez,45,"$40,401",20,8,0,3,0,0,0,0,0,0,0,0,0
2022,Ben Crane,47,"$40,658",10,10,0,3,0,0,0,0,0,0,0,0,0
2022,J.J. Henry,48,"$41,727",9,8,0,3,0,0,0,0,0,0,0,0,0
2022,Tiger Woods,47,"$43,500",11,3,0,1,0,0,0,0,0,0,0,0,0
2022,D.A. Points,46,"$45,522",13,11,0,4,0,0,0,0,0,0,0,0,0
2023,Fred Couples,64,"$46,080",9,1,0,1,0,0,0,0,0,0,0,0,0
2023,Ernie Els,54,"$46,200",6,2,0,1,0,0,0,0,0,0,0,0,0
2023,Robert Garrigus,46,"$48,425",0,9,0,1,0,0,0,0,0,0,0,0,0
2022,Ryan Blaum,40,"$48,910",27,2,0,1,0,0,0,0,0,0,0,0,0
2023,Derek Lamely,43,"$52,205",26,9,0,2,0,0,0,0,0,0,0,0,0
2023,Derek Ernst,33,"$52,898",27,11,0,2,0,0,0,0,0,0,0,0,0
2023,Philip Knowles,26,"$53,421",18,9,0,3,0,0,0,0,0,0,0,0,0
2023,Sangmoon Bae,37,"$57,871",12,8,0,3,0,0,0,0,0,0,0,0,0
2023,Jerry Kelly,56,"$58,000",7,2,0,1,0,0,0,0,0,0,0,0,0
2023,J.B. Holmes,41,"$58,884",7,10,0,2,0,0,0,0,0,0,0,0,0
2023,Tiger Woods,47,"$59,560",11,2,0,1,0,0,0,0,0,0,0,0,0
2022,Greg Chalmers,50,"$62,549",32,10,0,4,0,0,0,0,0,0,0,0,0
2022,David Hearn,44,"$66,239",28,12,0,4,0,0,0,0,0,0,0,0,0
2023,Ben Crane,47,"$71,025",13,14,0,5,0,0,0,0,0,0,0,0,0
2023,Scott Brown,40,"$78,995",26,16,0,5,0,0,0,0,0,0,0,0,0
2022,Ricky Barnes,42,"$83,169",39,11,0,4,0,0,0,0,0,0,0,0,0
